Log of events
-------------------------------------------------------------------
Number of Clients: 1000
Number of Queues: 20
Time of simulation: 200 seconds
[tArrivalMin, tArrivalMax] = [10, 100]
[tServiceMin, tServiceMax] = [3, 9]
Selected strategy: Shortest Queue
-------------------------------------------------------------------
Time: 0
Waiting clients: (66, 10, 8)
(146, 10, 5)
(242, 10, 3)
(426, 10, 6)
(428, 10, 5)
(514, 10, 7)
(520, 10, 5)
(575, 10, 5)
(609, 10, 8)
(680, 10, 6)
(716, 10, 7)
(733, 10, 6)
(22, 11, 7)
(47, 11, 6)
(65, 11, 8)
(71, 11, 4)
(156, 11, 8)
(225, 11, 6)
(245, 11, 7)
(275, 11, 8)
(340, 11, 7)
(406, 11, 5)
(408, 11, 8)
(577, 11, 7)
(655, 11, 7)
(864, 11, 8)
(952, 11, 3)
(84, 12, 8)
(405, 12, 6)
(471, 12, 7)
(554, 12, 4)
(651, 12, 3)
(834, 12, 5)
(49, 13, 4)
(220, 13, 7)
(570, 13, 7)
(631, 13, 5)
(711, 13, 5)
(945, 13, 8)
(965, 13, 8)
(33, 14, 5)
(157, 14, 5)
(193, 14, 8)
(269, 14, 5)
(270, 14, 7)
(273, 14, 8)
(512, 14, 3)
(598, 14, 7)
(610, 14, 6)
(660, 14, 5)
(735, 14, 7)
(123, 15, 5)
(305, 15, 4)
(501, 15, 5)
(564, 15, 5)
(588, 15, 3)
(728, 15, 7)
(757, 15, 4)
(827, 15, 5)
(863, 15, 7)
(875, 15, 6)
(959, 15, 4)
(971, 15, 8)
(989, 15, 5)
(999, 15, 3)
(46, 16, 5)
(97, 16, 5)
(212, 16, 7)
(294, 16, 4)
(333, 16, 8)
(388, 16, 6)
(473, 16, 7)
(497, 16, 4)
(737, 16, 8)
(747, 16, 4)
(800, 16, 3)
(835, 16, 6)
(846, 16, 7)
(979, 16, 4)
(52, 17, 5)
(93, 17, 7)
(121, 17, 4)
(124, 17, 8)
(180, 17, 3)
(217, 17, 5)
(562, 17, 3)
(571, 17, 8)
(721, 17, 7)
(762, 17, 6)
(823, 17, 8)
(943, 17, 5)
(980, 17, 6)
(1, 18, 3)
